dream_id,coding_type,init,rec,code,char,raw
norms-f_0003,succ,,,,D + 1FTT,{'char': 'D + 1FTT'}
norms-f_0003,emot,,,AP,D,"{'code': 'AP', 'char': 'D'}"
norms-f_0003,set,,,OU,,OU
norms-f_0003,obj,,,NA,,NA
norms-f_0003,obj,,,BT,,BT
norms-f_0003,mod,,,I+,,I+
norms-f_0003,mod,,,S+,,S+
norms-f_0004,char,,,1MKA,,1MKA
norms-f_0004,act,D,,L,,"{'init': 'D', 'code': 'L'}"
norms-f_0004,act,1MKA,,L,,"{'init': '1MKA', 'code': 'L'}"
norms-f_0004,act,D,,P,,"{'init': 'D', 'code': 'P'}"
norms-f_0004,act,1MKA,,P,,"{'init': '1MKA', 'code': 'P'}"
norms-f_0004,act,D,,P,,"{'init': 'D', 'code': 'P'}"
norms-f_0004,act,1MKA,,P,,"{'init': '1MKA', 'code': 'P'}"
norms-f_0004,mf,,,2,D + 1MKA,"{'code': '2', 'char': 'D + 1MKA'}"
norms-f_0004,set,,,OU,,OU
norms-f_0004,set,,,OU,,OU
norms-f_0004,obj,,,TR,,TR
norms-f_0004,obj,,,NA,,NA
norms-f_0004,obj,,,ST,,ST
norms-f_0004,obj,,,CM,,CM
norms-f_0004,obj,,,RG,,RG
norms-f_0004,mod,,,V+,,V+
norms-f_0004,mod,,,C+,,C+
norms-f_0004,mod,,,I+,,I+
norms-f_0005,char,,,2JKA,,2JKA
norms-f_0005,agg,D,2JKA,1>,,"{'init': 'D', 'code': '1>', 'rec': '2JKA'}"
norms-f_0005,fri,D,2JKA,3>,,"{'init': 'D', 'code': '3>', 'rec': '2JKA'}"
norms-f_0005,act,D,,P,,"{'init': 'D', 'code': 'P'}"
norms-f_0005,act,D,,M,,"{'init': 'D', 'code': 'M'}"
norms-f_0005,act,D,,V,,"{'init': 'D', 'code': 'V'}"
norms-f_0005,emot,,,CO,D,"{'code': 'CO', 'char': 'D'}"
norms-f_0005,emot,,,AN,D,"{'code': 'AN', 'char': 'D'}"
norms-f_0005,set,,,IF,,IF
norms-f_0005,obj,,,AV,,AV
norms-f_0005,obj,,,HH,,HH
norms-f_0005,obj,,,HH,,HH
norms-f_0005,obj,,,HH,,HH
norms-f_0005,obj,,,FO,,FO
norms-f_0005,obj,,,FO,,FO
norms-f_0005,mod,,,E-,,E-
norms-f_0006,char,,,1FKA,,1FKA
norms-f_0006,act,1FKA,,P,,"{'init': '1FKA', 'code': 'P'}"
norms-f_0006,act,D,,M,,"{'init': 'D', 'code': 'M'}"
norms-f_0006,act,D,,S,,"{'init': 'D', 'code': 'S'}"
norms-f_0006,act,1FKA,,P,,"{'init': '1FKA', 'code': 'P'}"
norms-f_0006,act,D,1FKA,V>,,"{'init': 'D', 'code': 'V>', 'rec': '1FKA'}"
norms-f_0006,act,D,,P,,"{'init': 'D', 'code': 'P'}"
norms-f_0006,act,D,,P,,"{'init': 'D', 'code': 'P'}"
norms-f_0006,act,D,,P,,"{'init': 'D', 'code': 'P'}"
norms-f_0006,act,D,,M,,"{'init': 'D', 'code': 'M'}"
norms-f_0006,act,1FKA,,E,,"{'init': '1FKA', 'code': 'E'}"
norms-f_0006,act,D + 1FKA,,C,,"{'init': 'D + 1FKA', 'code': 'C'}"
norms-f_0006,mf,,,1,D,"{'code': '1', 'char': 'D'}"
norms-f_0006,set,,,IF,,IF
norms-f_0006,obj,,,AR,,AR
norms-f_0006,obj,,,AR,,AR
norms-f_0006,obj,,,HH,,HH
norms-f_0006,obj,,,AD,,AD
norms-f_0006,obj,,,CL,,CL
norms-f_0006,obj,,,HH,,HH
norms-f_0006,obj,,,HH,,HH
norms-f_0006,obj,,,MO,,MO
norms-f_0006,obj,,,TR,,TR
norms-f_0006,obj,,,TR,,TR
norms-f_0006,mod,,,A+,,A+
norms-f_0006,mod,,,S+,,S+
norms-f_0007,char,,,1MSA,,1MSA
norms-f_0007,char,,,1MOA,,1MOA
norms-f_0007,char,,,2MOA,,2MOA
norms-f_0007,agg,D,1MSA,3>,,"{'init': 'D', 'code': '3>', 'rec': '1MSA'}"
norms-f_0007,agg,1MSA,D,5>,,"{'init': '1MSA', 'code': '5>', 'rec': 'D'}"
norms-f_0007,agg,1MSA,D,3R,,"{'init': '1MSA', 'code': '3R', 'rec': 'D'}"
norms-f_0007,fri,1MOA,D,4>,,"{'init': '1MOA', 'code': '4>', 'rec': 'D'}"
norms-f_0007,sex,1MSA,D,2>,,"{'init': '1MSA', 'code': '2>', 'rec': 'D'}"
norms-f_0007,act,D,1MSA,V>,,"{'init': 'D', 'code': 'V>', 'rec': '1MSA'}"
norms-f_0007,act,1MSA,D,P>,,"{'init': '1MSA', 'code': 'P>', 'rec': 'D'}"
norms-f_0007,act,D,1MSA,V>,,"{'init': 'D', 'code': 'V>', 'rec': '1MSA'}"
norms-f_0007,act,D,,M,,"{'init': 'D', 'code': 'M'}"
norms-f_0007,act,D,1MOA,V>,,"{'init': 'D', 'code': 'V>', 'rec': '1MOA'}"
norms-f_0007,act,1MSA,,P,,"{'init': '1MSA', 'code': 'P'}"
norms-f_0007,act,D + 1MSA,,L,,"{'init': 'D + 1MSA', 'code': 'L'}"
norms-f_0007,act,1MSA,,L,,"{'init': '1MSA', 'code': 'L'}"
norms-f_0007,act,1MSA,,P,,"{'init': '1MSA', 'code': 'P'}"
norms-f_0007,emot,,,AP,D,"{'code': 'AP', 'char': 'D'}"
norms-f_0007,set,,,OQ,,OQ
norms-f_0007,obj,,,TR,,TR
norms-f_0007,obj,,,BE,,BE
norms-f_0007,obj,,,ST,,ST
norms-f_0007,obj,,,TR,,TR
norms-f_0007,obj,,,TR,,TR
norms-f_0007,mod,,,C+,,C+
norms-f_0008,char,,,1MKA,,1MKA
norms-f_0008,char,,,2FKA,,2FKA
norms-f_0008,char,,,1MFA,,1MFA
norms-f_0008,agg,D,1MKA,1>,,"{'init': 'D', 'code': '1>', 'rec': '1MKA'}"
norms-f_0008,act,D,,P,,"{'init': 'D', 'code': 'P'}"
norms-f_0008,act,1MKA,D,V>,,"{'init': '1MKA', 'code': 'V>', 'rec': 'D'}"
norms-f_0008,act,1MKA,,P,,"{'init': '1MKA', 'code': 'P'}"
norms-f_0008,act,D,2FKA,V>,,"{'init': 'D', 'code': 'V>', 'rec': '2FKA'}"
norms-f_0008,act,D,,A,,"{'init': 'D', 'code': 'A'}"
norms-f_0008,act,D,,M,,"{'init': 'D', 'code': 'M'}"
norms-f_0008,act,D,,M,,"{'init': 'D', 'code': 'M'}"
norms-f_0008,mf,,,3,1MKA,"{'code': '3', 'char': '1MKA'}"
norms-f_0008,emot,,,AN,D,"{'code': 'AN', 'char': 'D'}"
norms-f_0008,set,,,IF,,IF
norms-f_0008,obj,,,AR,,AR
norms-f_0008,obj,,,CM,,CM
norms-f_0008,obj,,,CL,,CL
norms-f_0008,obj,,,AR,,AR
norms-f_0008,obj,,,CM,,CM
norms-f_0008,obj,,,AV,,AV
norms-f_0008,obj,,,AV,,AV
norms-f_0008,obj,,,ST,,ST
norms-f_0008,mod,,,I+,,I+
norms-f_0009,char,,,1FUA,,1FUA
norms-f_0009,char,,,1MSA,,1MSA
norms-f_0009,agg,1MSA,D + 1FUA,6>,,"{'init': '1MSA', 'code': '6>', 'rec': 'D + 1FUA'}"
norms-f_0009,fri,1FUA,D,4>,,"{'init': '1FUA', 'code': '4>', 'rec': 'D'}"
norms-f_0009,act,D,,S,,"{'init': 'D', 'code': 'S'}"
norms-f_0009,act,D,,M,,"{'init': 'D', 'code': 'M'}"
norms-f_0009,act,D,1FUA,V>,,"{'init': 'D', 'code': 'V>', 'rec': '1FUA'}"
norms-f_0009,act,D + 1FUA,,M,,"{'init': 'D + 1FUA', 'code': 'M'}"
norms-f_0009,act,1FUA,,P,,"{'init': '1FUA', 'code': 'P'}"
norms-f_0009,act,D + 1FUA,,M,,"{'init': 'D + 1FUA', 'code': 'M'}"
norms-f_0009,act,1MSA,,M,,"{'init': '1MSA', 'code': 'M'}"
norms-f_0009,act,1FUA,,P,,"{'init': '1FUA', 'code': 'P'}"
norms-f_0009,act,1FUA,D,V>,,"{'init': '1FUA', 'code': 'V>', 'rec': 'D'}"
norms-f_0009,set,,,ID,,ID
norms-f_0009,obj,,,AR,,AR
norms-f_0009,obj,,,HH,,HH
norms-f_0009,obj,,,AD,,AD
norms-f_0009,obj,,,CM,,CM
norms-f_0009,obj,,,CM,,CM
norms-f_0009,obj,,,HH,,HH
norms-f_0009,obj,,,AR,,AR
norms-f_0009,obj,,,AD,,AD
norms-f_0009,obj,,,AR,,AR
norms-f_0009,obj,,,BE,,BE
norms-f_0009,mod,,,A+,,A+
norms-f_0010,char,,,1MSA,,1MSA
norms-f_0010,char,,,1FKA,,1FKA
norms-f_0010,char,,,1MFA,,1MFA
norms-f_0010,agg,D,Q,1>,,"{'init': 'D', 'code': '1>', 'rec': 'Q'}"
norms-f_0010,act,1MSA,,P,,"{'init': '1MSA', 'code': 'P'}"
norms-f_0010,act,1MSA,D,V>,,"{'init': '1MSA', 'code': 'V>', 'rec': 'D'}"
norms-f_0010,act,D,,P,,"{'init': 'D', 'code': 'P'}"
norms-f_0010,act,D,,P,,"{'init': 'D', 'code': 'P'}"
norms-f_0010,act,D,1FKA,V>,,"{'init': 'D', 'code': 'V>', 'rec': '1FKA'}"
norms-f_0010,act,1FKA,,S,,"{'init': '1FKA', 'code': 'S'}"
norms-f_0010,emot,,,AN,D,"{'code': 'AN', 'char': 'D'}"
norms-f_0010,set,,,OQ,,OQ
norms-f_0010,obj,,,TR,,TR
norms-f_0010,obj,,,CM,,CM
norms-f_0010,obj,,,CM,,CM
norms-f_0010,obj,,,BA,,BA
norms-f_0010,obj,,,CM,,CM
norms-f_0010,obj,,,TR,,TR
norms-f_0010,obj,,,CM,,CM
norms-f_0010,mod,,,I+,,I+
norms-f_0010,mod,,,E-,,E-
norms-f_0010,mod,,,E-,,E-
norms-f_0011,char,,,1MKA,,1MKA
norms-f_0011,char,,,1MKA,,1MKA
norms-f_0011,sex,D,1MKA,3>,,"{'init': 'D', 'code': '3>', 'rec': '1MKA'}"
norms-f_0011,act,D,,P,,"{'init': 'D', 'code': 'P'}"
norms-f_0011,act,D,1MKA,P>,,"{'init': 'D', 'code': 'P>', 'rec': '1MKA'}"
norms-f_0011,set,,,IQ,,IQ
norms-f_0011,obj,,,HH,,HH
norms-f_0011,obj,,,AR,,AR
norms-f_0012,char,,,1MKA,,1MKA
norms-f_0012,char,,,1MOA,,1MOA
norms-f_0012,agg,1MOA,D + 1MKA,6>,,"{'init': '1MOA', 'code': '6>', 'rec': 'D + 1MKA'}"
norms-f_0012,agg,1MOA,1MKA,7>,,"{'init': '1MOA', 'code': '7>', 'rec': '1MKA'}"
norms-f_0012,fri,D,1MKA,7>,,"{'init': 'D', 'code': '7>', 'rec': '1MKA'}"
norms-f_0012,act,1MOA,,P,,"{'init': '1MOA', 'code': 'P'}"
norms-f_0012,act,D,,S,,"{'init': 'D', 'code': 'S'}"
norms-f_0012,act,1MKA,,P,,"{'init': '1MKA', 'code': 'P'}"
norms-f_0012,act,D,1MKA,V>,,"{'init': 'D', 'code': 'V>', 'rec': '1MKA'}"
norms-f_0012,act,1MOA + 1MKA,,M,,"{'init': '1MOA + 1MKA', 'code': 'M'}"
norms-f_0012,act,D + 1MOA + 1MKA,,M,,"{'init': 'D + 1MOA + 1MKA', 'code': 'M'}"
norms-f_0012,emot,,,AP,D,"{'code': 'AP', 'char': 'D'}"
norms-f_0012,set,,,OQ,,OQ
norms-f_0012,obj,,,BT,,BT
norms-f_0012,obj,,,CL,,CL
norms-f_0012,obj,,,CL,,CL
norms-f_0012,obj,,,AD,,AD
norms-f_0012,obj,,,AR,,AR
norms-f_0012,obj,,,BA,,BA
norms-f_0012,obj,,,IW,,IW
norms-f_0012,obj,,,ST,,ST
norms-f_0012,obj,,,ST,,ST
norms-f_0012,obj,,,ST,,ST
norms-f_0012,obj,,,CL,,CL
norms-f_0013,char,,,1FKA,,1FKA
norms-f_0013,char,,,7MKA,,7MKA
norms-f_0013,char,,,8MKA,,8MKA
norms-f_0013,fri,D,7MKA + 8MKA,7>,,"{'init': 'D', 'code': '7>', 'rec': '7MKA + 8MKA'}"
norms-f_0013,act,D,,P,,"{'init': 'D', 'code': 'P'}"
norms-f_0013,act,D,1FKA,V>,,"{'init': 'D', 'code': 'V>', 'rec': '1FKA'}"
norms-f_0013,set,,,IF,,IF
norms-f_0013,obj,,,AR,,AR
norms-f_0013,obj,,,CM,,CM
norms-f_0013,obj,,,CL,,CL
norms-f_0013,obj,,,BE,,BE
norms-f_0013,obj,,,TR,,TR
norms-f_0013,mod,,,I+,,I+
norms-f_0013,mod,,,V+,,V+
norms-f_0013,mod,,,S+,,S+
norms-f_0013,mod,,,C-,,C-
norms-f_0013,mod,,,C+,,C+
norms-f_0014,char,,,1MKA,,1MKA
norms-f_0014,agg,1MKA,D,3>,,"{'init': '1MKA', 'code': '3>', 'rec': 'D'}"
norms-f_0014,act,1MKA,,P,,"{'init': '1MKA', 'code': 'P'}"
norms-f_0014,act,D + 1MKA,,L,,"{'init': 'D + 1MKA', 'code': 'L'}"
norms-f_0014,act,D + 1MKA,,P,,"{'init': 'D + 1MKA', 'code': 'P'}"
norms-f_0014,act,D,1MKA,V>,,"{'init': 'D', 'code': 'V>', 'rec': '1MKA'}"
norms-f_0014,act,1MKA,,M,,"{'init': '1MKA', 'code': 'M'}"
norms-f_0014,act,D + 1MKA,,P,,"{'init': 'D + 1MKA', 'code': 'P'}"
norms-f_0014,act,D,,S,,"{'init': 'D', 'code': 'S'}"
norms-f_0014,act,1MKA,,S,,"{'init': '1MKA', 'code': 'S'}"
norms-f_0014,emot,,,AP,D,"{'code': 'AP', 'char': 'D'}"
norms-f_0014,set,,,OQ,,OQ
norms-f_0014,obj,,,NA,,NA
norms-f_0014,obj,,,TR,,TR
norms-f_0014,obj,,,NA,,NA
norms-f_0014,obj,,,NA,,NA
norms-f_0014,obj,,,NA,,NA
norms-f_0014,obj,,,BH,,BH
norms-f_0014,obj,,,TR,,TR
norms-f_0014,mod,,,S+,,S+
norms-f_0014,mod,,,I+,,I+
norms-f_0014,mod,,,I+,,I+
norms-f_0014,mod,,,I+,,I+
norms-f_0015,char,,,1FKA,,1FKA
norms-f_0015,char,,,1MPA,,1MPA
norms-f_0015,char,,,1FPA,,1FPA
norms-f_0015,char,,,1MKA,,1MKA
norms-f_0015,act,D,1MKA,V>,,"{'init': 'D', 'code': 'V>', 'rec': '1MKA'}"
norms-f_0015,act,1FPA,,S,,"{'init': '1FPA', 'code': 'S'}"
norms-f_0015,act,D + 1MKA,,M,,"{'init': 'D + 1MKA', 'code': 'M'}"
norms-f_0015,mf,,,6,1FPA,"{'code': '6', 'char': '1FPA'}"
norms-f_0015,emot,,,CO,D,"{'code': 'CO', 'char': 'D'}"
norms-f_0015,emot,,,AP,D,"{'code': 'AP', 'char': 'D'}"
norms-f_0015,set,,,IQ,,IQ
norms-f_0015,obj,,,AR,,AR
norms-f_0015,obj,,,HH,,HH
norms-f_0015,obj,,,CL,,CL
norms-f_0015,obj,,,BE,,BE
norms-f_0015,obj,,,BH,,BH
norms-f_0015,obj,,,BH,,BH
norms-f_0015,obj,,,AR,,AR
norms-f_0015,obj,,,HH,,HH
norms-f_0015,obj,,,AR,,AR
norms-f_0015,mod,,,I+,,I+
norms-f_0015,mod,,,C+,,C+
norms-f_0015,mod,,,S+,,S+
norms-f_0015,mod,,,C+,,C+
norms-f_0015,mod,,,I+,,I+
norms-f_0015,mod,,,I+,,I+
norms-f_0016,char,,,1ANI,,1ANI
norms-f_0016,char,,,1FTA,,1FTA
norms-f_0016,agg,1ANI,D,6>,,"{'init': '1ANI', 'code': '6>', 'rec': 'D'}"
norms-f_0016,agg,1FTA,D,3>,,"{'init': '1FTA', 'code': '3>', 'rec': 'D'}"
norms-f_0016,act,D,,M,,"{'init': 'D', 'code': 'M'}"
norms-f_0016,act,1ANI,,M,,"{'init': '1ANI', 'code': 'M'}"
norms-f_0016,act,D,,S,,"{'init': 'D', 'code': 'S'}"
norms-f_0016,act,1FTA,,S,,"{'init': '1FTA', 'code': 'S'}"
norms-f_0016,act,D,1FTA,V>,,"{'init': 'D', 'code': 'V>', 'rec': '1FTA'}"
norms-f_0016,act,1FTA,,E,,"{'init': '1FTA', 'code': 'E'}"
norms-f_0016,set,,,OF,,OF
norms-f_0016,obj,,,BH,,BH
norms-f_0016,obj,,,BE,,BE
norms-f_0016,obj,,,AR,,AR
norms-f_0016,obj,,,ST,,ST
norms-f_0016,obj,,,NA,,NA
norms-f_0016,mod,,,S+,,S+
norms-f_0016,mod,,,C-,,C-
norms-f_0016,mod,,,S+,,S+
norms-f_0016,mod,,,V+,,V+
norms-f_0016,mod,,,I+,,I+
norms-f_0017,char,,,1MKA,,1MKA
norms-f_0017,agg,Q,D,3>,,"{'init': 'Q', 'code': '3>', 'rec': 'D'}"
norms-f_0017,fri,1MKA,D,4>,,"{'init': '1MKA', 'code': '4>', 'rec': 'D'}"
norms-f_0017,act,D,,M,,"{'init': 'D', 'code': 'M'}"
norms-f_0017,act,1MKA,D,V>,,"{'init': '1MKA', 'code': 'V>', 'rec': 'D'}"
norms-f_0017,act,D,,P,,"{'init': 'D', 'code': 'P'}"
norms-f_0017,act,D,,P,,"{'init': 'D', 'code': 'P'}"
norms-f_0017,mf,,,1,D,"{'code': '1', 'char': 'D'}"
norms-f_0017,set,,,OQ,,OQ
norms-f_0017,obj,,,NA,,NA
norms-f_0017,obj,,,NA,,NA
norms-f_0017,obj,,,TR,,TR
norms-f_0017,obj,,,NA,,NA
norms-f_0017,obj,,,IR,,IR
norms-f_0017,obj,,,NA,,NA
norms-f_0017,obj,,,NA,,NA
norms-f_0017,obj,,,ST,,ST
norms-f_0017,obj,,,TR,,TR
norms-f_0018,char,,,2FSA,,2FSA
norms-f_0018,act,D,,M,,"{'init': 'D', 'code': 'M'}"
norms-f_0018,act,D,,S,,"{'init': 'D', 'code': 'S'}"
norms-f_0018,act,D,,P,,"{'init': 'D', 'code': 'P'}"
norms-f_0018,act,D,,M,,"{'init': 'D', 'code': 'M'}"
norms-f_0018,succ,,,,D,{'char': 'D'}
norms-f_0018,emot,,,HA,D,"{'code': 'HA', 'char': 'D'}"
norms-f_0018,set,,,OF,,OF
norms-f_0018,set,,,IF,,IF
norms-f_0018,set,,,IU,,IU
norms-f_0018,obj,,,AV,,AV
norms-f_0018,obj,,,CL,,CL
norms-f_0018,obj,,,HH,,HH
norms-f_0018,obj,,,CL,,CL
norms-f_0018,obj,,,CL,,CL
norms-f_0018,obj,,,AV,,AV
norms-f_0018,obj,,,CL,,CL
norms-f_0018,obj,,,CL,,CL
norms-f_0018,obj,,,ST,,ST
norms-f_0018,mod,,,S-,,S-
norms-f_0018,mod,,,S+,,S+
norms-f_0018,mod,,,C+,,C+
norms-f_0018,mod,,,E+,,E+
norms-f_0018,mod,,,A+,,A+
norms-f_0018,mod,,,C+,,C+
norms-f_0019,char,,,2JSA,,2JSA
norms-f_0019,char,,,1MSA,,1MSA
norms-f_0019,char,,,2JSA,,2JSA
norms-f_0019,agg,2JSA,D,3>,,"{'init': '2JSA', 'code': '3>', 'rec': 'D'}"
norms-f_0019,agg,1MSA,D,3>,,"{'init': '1MSA', 'code': '3>', 'rec': 'D'}"
norms-f_0019,agg,2JSA,D,3>,,"{'init': '2JSA', 'code': '3>', 'rec': 'D'}"
norms-f_0019,act,D,,L,,"{'init': 'D', 'code': 'L'}"
norms-f_0019,act,D,,L,,"{'init': 'D', 'code': 'L'}"
norms-f_0019,act,D,,V,,"{'init': 'D', 'code': 'V'}"
norms-f_0019,set,,,IF,,IF
norms-f_0019,set,,,IQ,,IQ
norms-f_0019,obj,,,CL,,CL
norms-f_0019,obj,,,CL,,CL
norms-f_0019,obj,,,CL,,CL
norms-f_0019,obj,,,AE,,AE
norms-f_0019,obj,,,TR,,TR
norms-f_0019,obj,,,AR,,AR
norms-f_0019,obj,,,CL,,CL
norms-f_0019,obj,,,ST,,ST
norms-f_0019,obj,,,AE,,AE
norms-f_0019,mod,,,S+,,S+
norms-f_0019,mod,,,D+,,D+
norms-f_0019,mod,,,E-,,E-
norms-f_0019,mod,,,C+,,C+
norms-f_0019,mod,,,E-,,E-
norms-f_0019,mod,,,I+,,I+
norms-f_0019,mod,,,S+,,S+
norms-f_0019,mod,,,E+,,E+
norms-f_0019,mod,,,A-,,A-
norms-f_0020,char,,,1FTA,,1FTA
norms-f_0020,fri,1FTA,D,4>,,"{'init': '1FTA', 'code': '4>', 'rec': 'D'}"
norms-f_0020,act,D,,C,,"{'init': 'D', 'code': 'C'}"
norms-f_0020,act,1FTA,,M,,"{'init': '1FTA', 'code': 'M'}"
norms-f_0020,fail,,,,D,{'char': 'D'}
norms-f_0020,emot,,,AP,D,"{'code': 'AP', 'char': 'D'}"
norms-f_0020,set,,,IQ,,IQ
norms-f_0020,obj,,,AE,,AE
norms-f_0020,obj,,,HH,,HH
norms-f_0020,obj,,,AE,,AE
norms-f_0020,mod,,,C-,,C-
norms-f_0021,char,,,1MKA,,1MKA
norms-f_0021,fri,1MKA,D,5>,,"{'init': '1MKA', 'code': '5>', 'rec': 'D'}"
norms-f_0021,act,1MKA,,L,,"{'init': '1MKA', 'code': 'L'}"
norms-f_0021,act,D,,S,,"{'init': 'D', 'code': 'S'}"
norms-f_0021,emot,,,AP,D,"{'code': 'AP', 'char': 'D'}"
norms-f_0021,set,,,IF,,IF
norms-f_0021,obj,,,AR,,AR
norms-f_0021,obj,,,AR,,AR
norms-f_0021,obj,,,CM,,CM
norms-f_0021,obj,,,BE,,BE
norms-f_0021,obj,,,AR,,AR
norms-f_0021,mod,,,A+,,A+
norms-f_0021,mod,,,A+,,A+
norms-f_0022,char,,,1FKA,,1FKA
norms-f_0022,act,1FKA,D,V>,,"{'init': '1FKA', 'code': 'V>', 'rec': 'D'}"
norms-f_0022,act,D,,P,,"{'init': 'D', 'code': 'P'}"
norms-f_0022,set,,,IU,,IU
norms-f_0022,obj,,,AV,,AV
norms-f_0022,obj,,,HH,,HH
norms-f_0022,obj,,,IT,,IT
norms-f_0022,obj,,,IT,,IT
norms-f_0022,mod,,,A+,,A+
norms-f_0022,mod,,,I+,,I+
norms-f_0023,char,,,1MOA,,1MOA
norms-f_0023,act,D,,C,,"{'init': 'D', 'code': 'C'}"
norms-f_0023,act,1MOA,D,V>,,"{'init': '1MOA', 'code': 'V>', 'rec': 'D'}"
norms-f_0023,mf,,,5,D,"{'code': '5', 'char': 'D'}"
norms-f_0023,gf,,,,D,{'char': 'D'}
norms-f_0023,emot,,,CO,D,"{'code': 'CO', 'char': 'D'}"
norms-f_0023,emot,,,HA,1MOA,"{'code': 'HA', 'char': '1MOA'}"
norms-f_0023,set,,,IQ,,IQ
norms-f_0023,obj,,,BA,,BA
norms-f_0023,mod,,,I+,,I+
norms-f_0023,mod,,,I+,,I+
norms-f_0023,mod,,,A-,,A-
norms-f_0024,char,,,2JSA,,2JSA
norms-f_0024,char,,,1ISA,,1ISA
norms-f_0024,char,,,1FOA,,1FOA
norms-f_0024,fri,2JSA,D,4>,,"{'init': '2JSA', 'code': '4>', 'rec': 'D'}"
norms-f_0024,act,D,,M,,"{'init': 'D', 'code': 'M'}"
norms-f_0024,act,1FOA,D,V>,,"{'init': '1FOA', 'code': 'V>', 'rec': 'D'}"
norms-f_0024,act,2JSA,D,V>,,"{'init': '2JSA', 'code': 'V>', 'rec': 'D'}"
norms-f_0024,act,D,,S,,"{'init': 'D', 'code': 'S'}"
norms-f_0024,emot,,,AP,2JSA,"{'code': 'AP', 'char': '2JSA'}"
norms-f_0024,set,,,OU,,OU
norms-f_0024,set,,,IU,,IU
norms-f_0024,obj,,,TR,,TR
norms-f_0024,obj,,,AI,,AI
norms-f_0024,obj,,,IT,,IT
norms-f_0024,obj,,,RG,,RG
norms-f_0024,mod,,,A-,,A-
norms-f_0025,char,,,2IUA,,2IUA
norms-f_0025,char,,,1FKA,,1FKA
norms-f_0025,char,,,1IOA,,1IOA
norms-f_0025,char,,,3ISA,,3ISA
norms-f_0025,act,1IOA,D + 2IUA,V>,,"{'init': '1IOA', 'code': 'V>', 'rec': 'D + 2IUA'}"
norms-f_0025,act,D,,M,,"{'init': 'D', 'code': 'M'}"
norms-f_0025,act,D,,S,,"{'init': 'D', 'code': 'S'}"
norms-f_0025,act,D,1FKA,V>,,"{'init': 'D', 'code': 'V>', 'rec': '1FKA'}"
norms-f_0025,act,1FKA,D,VR,,"{'init': '1FKA', 'code': 'VR', 'rec': 'D'}"
norms-f_0025,act,D + 2IUA,,M,,"{'init': 'D + 2IUA', 'code': 'M'}"
norms-f_0025,emot,,,AP,1FKA,"{'code': 'AP', 'char': '1FKA'}"
norms-f_0025,set,,,IU,,IU
norms-f_0025,obj,,,AI,,AI
norms-f_0025,obj,,,HH,,HH
norms-f_0025,obj,,,BA,,BA
norms-f_0025,obj,,,BA,,BA
norms-f_0025,obj,,,BA,,BA
norms-f_0025,obj,,,AI,,AI
norms-f_0025,mod,,,A-,,A-
norms-f_0025,mod,,,I+,,I+
norms-f_0026,act,D,,C,,"{'init': 'D', 'code': 'C'}"
norms-f_0026,act,D,,P,,"{'init': 'D', 'code': 'P'}"
norms-f_0026,act,D,,P,,"{'init': 'D', 'code': 'P'}"
norms-f_0026,act,D,,S,,"{'init': 'D', 'code': 'S'}"
norms-f_0026,act,D,,P,,"{'init': 'D', 'code': 'P'}"
norms-f_0026,act,D,,S,,"{'init': 'D', 'code': 'S'}"
norms-f_0026,act,D,,P,,"{'init': 'D', 'code': 'P'}"
norms-f_0026,act,D,,M,,"{'init': 'D', 'code': 'M'}"
norms-f_0026,act,D,,P,,"{'init': 'D', 'code': 'P'}"
norms-f_0026,fail,,,,D,{'char': 'D'}
norms-f_0026,mf,,,5,D,"{'code': '5', 'char': 'D'}"
norms-f_0026,emot,,,AP,D,"{'code': 'AP', 'char': 'D'}"
norms-f_0026,set,,,IQ,,IQ
norms-f_0026,obj,,,BH,,BH
norms-f_0026,obj,,,BE,,BE
norms-f_0026,obj,,,BA,,BA
norms-f_0026,obj,,,BH,,BH
norms-f_0026,obj,,,AR,,AR
norms-f_0026,obj,,,FO,,FO
norms-f_0026,mod,,,D+,,D+
norms-f_0026,mod,,,D+,,D+
norms-f_0026,mod,,,I+,,I+
norms-f_0026,mod,,,I+,,I+
norms-f_0027,char,,,1FKA,,1FKA
norms-f_0027,char,,,1MKA,,1MKA
norms-f_0027,agg,1MKA,D,3>,,"{'init': '1MKA', 'code': '3>', 'rec': 'D'}"
norms-f_0027,fri,1FKA,D,4>,,"{'init': '1FKA', 'code': '4>', 'rec': 'D'}"
norms-f_0027,act,1MKA,,S,,"{'init': '1MKA', 'code': 'S'}"
norms-f_0027,act,1FKA,1MKA,V>,,"{'init': '1FKA', 'code': 'V>', 'rec': '1MKA'}"
norms-f_0027,act,1MKA,1FKA,VR,,"{'init': '1MKA', 'code': 'VR', 'rec': '1FKA'}"
norms-f_0027,fail,,,,D,{'char': 'D'}
norms-f_0027,set,,,IQ,,IQ
norms-f_0027,obj,,,HH,,HH
norms-f_0027,obj,,,BE,,BE
norms-f_0027,obj,,,BE,,BE
norms-f_0027,mod,,,E-,,E-
norms-f_0027,mod,,,S+,,S+
norms-f_0028,char,,,1MKC,,1MKC
norms-f_0028,char,,,1FKA,,1FKA
norms-f_0028,char,,,1MKC,,1MKC
norms-f_0028,char,,,2JUA,,2JUA
norms-f_0028,char,,,1MUA,,1MUA
norms-f_0028,char,,,1FSA,,1FSA
norms-f_0028,char,,,1FKC,,1FKC
