dream_id,pred_objects,gt_objects,f1,precision,recall,reasoning,dream_report
norms-f_0082,"[""AE"", ""MS"", ""BH""]","[""CM"", ""BH"", ""MS""]",0.667,0.667,0.667,"{""AE (movie theater)"": ""A movie theater — entertainment venue where the dreamer is watching a film."", ""MS (dropped article)"": ""An unspecified article/object the dreamer had been holding — cannot be classified into any specific category, so coded as miscellaneous."", ""BH (eyes)"": ""The dreamer's eyes are explicitly singled out as objects of attention — they are stuck and won't move.""}","I was in a movie watching it very intently. When the movie was over, I discovered I had dropped some article which I had been holding. But when I tried to look for it, I found my eyes would not move from their previous position of looking up at the movie. I tried hard for a long time to get them uns"
norms-f_0083,[],[],1.0,1.0,1.0,"{""NOT CODED — Marshall Field and Co."": ""The friend's workplace in Chicago is background information — he does not visit the store in the dream and the dreamer is not physically there."", ""NOT CODED — Chicago / Cleveland"": ""City names mentioned as narrative context (where he is from, where the dreamer is). The dreamer is not physically traveling through or acting within these cities as distinct dream scenes. Do not code as RG."", ""NOT CODED — weight loss"": ""The friend's changed appearance is noted but no body part is described as a distinct object of attention. 'Lost a lot of weight' is an interpersonal observation, not a description of a body part.""}","I dreamed of a very good friend of mine. He is 32, works at Marshall Field and Co. in Chicago. He is very overweight, but with such a personality that everyone likes him. In the dream he came here to Cleveland to see me. When he arrived, I found he had lost a lot of weight, really looked swell. He h"
norms-f_0084,"[""AV"", ""AD"", ""CL"", ""CL"", ""CL"", ""BT""]","[""AV"", ""TR"", ""CL"", ""CL"", ""CL""]",0.727,0.667,0.8,"{""AV (Marshall Field and Co.)"": ""A store/workplace — vocational building explicitly named and the dreamer is physically present working there."", ""AD (escalator)"": ""An architectural detail — a staircase-like structure within the building."", ""CL (flag red shirt)"": ""Clothing item explicitly described."", ""CL (Kelley green jacket)"": ""Clothing item explicitly described."", ""CL (brown trousers)"": ""Clothing item explicitly described."", ""BT (very overweight)"": ""Body/torso description — the friend's body is explicitly singled out as an object of attention ('very overweight person')."", ""NOT CODED — Chicago"": ""City mentioned as location context for the workplace, not a distinct region the dreamer physically travels through as a geographic area."", ""NOT CODED — girlfriend / friend"": ""Characters are not coded as objects.""}","I was back working at Marshall Field and Co. in Chicago. It was quitting time and my girlfriend (20) and I were riding down the escalator accompanied by a friend of ours. He is a very overweight person, age 32, and dressed in a striking manner. Flag red shirt, Kelley green jacket and brown trousers."
norms-f_0085,[],[],1.0,1.0,1.0,"{""NOT CODED — birthday party setting"": ""The dream implies a party location (likely a home) but never explicitly describes a room or building as a physical space the dreamer enters or encounters."", ""NOT CODED — gifts"": ""Gifts are mentioned ('opening gifts') but no specific gift object is described in enough detail to classify. However, on reflection, gifts are physical objects being opened and shown — they are present in the scene. But the dream says 'opening gifts' and 'showed the teacher one of them' without describing what any gift actually is. The gifts are generic/unclassified physical objects. These could be coded MS. Let me reconsider: the dreamer is opening gifts and showing them — these are concrete physical objects present in the scene. They should be coded. At minimum one gift is singled out ('one of them'). But we don't know the category. MS is appropriate for unclassifiable objects. However, re-reading the coding rules: 'gifts' at a birthday party without any description of what they are — the dream focuses on the interpersonal dynamic, not the objects. The gifts are mentioned only as a vehicle for the social interaction. Still, they are physically present objects being handled. I will code at least one MS for the gift shown."", ""NOT CODED — 'a look of disgust/disdain'"": ""Facial expressions are interpersonal actions, not body parts described as objects of attention. No specific body part (face, eyes) is singled out as a distinct object.""}","I dreamed of my last year's English teacher. In real life she is a good friend of mine, in my dream she was a good friend of mine, out of a blue sky she could do nothing but look at me with disdain; not a word passed between us. It was my birthday and I was having a small party. My teacher was there"
norms-f_0086,"[""AV"", ""AE"", ""FO"", ""HH"", ""CM""]","[""HH"", ""HH"", ""HH"", ""AE"", ""FO""]",0.6,0.6,0.6,"{""AV (class)"": ""A classroom setting — vocational/educational building where the project takes place."", ""AE (flower show)"": ""An entertainment venue — a public exhibition/show the dreamer attends."", ""FO (candy)"": ""Food item — the candy made as a project."", ""HH (tin box)"": ""Household container — the tin box used to hold the candy."", ""CM (striped wrapping paper)"": ""Wrapping paper as a communication/presentation material. Actually, wrapping paper is better classified as MS — miscellaneous object. However, reconsidering: wrapping paper doesn't clearly fit any standard category. MS is most appropriate.""}","As a project in one of my classes, I had to make some candy which I put in a tin box and then I wrapped the box in striped wrapping paper. The next moment I was at the flower show and there I saw a display of the candy boxes which my classmates and I had wrapped. My box was all covered up by the oth"
norms-f_0087,"[""AV"", ""MS"", ""MS"", ""AD"", ""FO"", ""HH""]","[""AV"", ""AD"", ""MS"", ""AD"", ""CL"", ""MS""]",0.667,0.667,0.667,"{""AV (hardware store)"": ""A store — vocational/business building explicitly entered and described."", ""MS (pile of scrap rubber #1)"": ""A huge pile of scrap rubber — miscellaneous object, not fitting other categories."", ""MS (pile of scrap rubber #2)"": ""Second distinct pile of scrap rubber — another miscellaneous object instance."", ""AD (front door)"": ""A door — architectural detail of the store."", ""FO (cigarette)"": ""A cigarette — consumable item, coded as FO per H/VdC conventions."", ""HH (purse)"": ""A purse/bag — household container object."", ""NOT CODED — 'smoke'"": ""Smoke is a byproduct of the fire, not a distinct physical object brought into the scene."", ""NOT CODED — 'fire'"": ""Fire is an event/phenomenon, not a coded object category."", ""NOT CODED — 'hardware products'"": ""Mentioned as general clutter but no specific products are individually described; the store itself is coded AV.""}","I was working in a hardware store which was very long and narrow and cluttered with hardware products. My friend (m, 23) came in to see me. We were standing by two huge piles of scrap rubber which were located near the front door. My friend lit a cigarette. Before we knew it, the piles of scrap rubb"
norms-f_0088,"[""ST"", ""CL"", ""HH"", ""AE"", ""AV"", ""CL"", ""AR"", ""RG"", ""CL""]","[""ST"", ""RG"", ""CL"", ""BH"", ""AE"", ""CL"", ""AR"", ""RG"", ""CL"", ""MS""]",0.737,0.778,0.7,"{""ST (Euclid at Wade Park)"": ""Named street/roadway — the dreamer is walking on it."", ""CL (bridesmaid dress)"": ""Clothing item the dreamer is wearing."", ""HH (light/flashlight)"": ""The strange man flashed a light — a handheld device/household miscellaneous object. Actually, a flashlight is a household implement."", ""AE (dingy bar)"": ""A bar — entertainment venue the dreamer runs into."", ""AV (designer's shop)"": ""A shop — vocational/business building."", ""CL (new gown being made)"": ""A second distinct garment — the newly made dress."", ""AR (small room)"": ""A small room the dreamer is in with her cousin — residential/generic room."", ""RG (parking lot)"": ""A bounded land area — parking lot where the dreamer finds her parents."", ""CL (newly made dress on friend)"": ""Same dress as the new gown, now seen on the friend — but it's the same object as CL #2, not a new instance. Actually, it is the same dress described again. Not coded separately."", ""NOT CODED — 'many men at the bar'"": ""Characters, not objects."", ""NOT CODED — 'the wedding'"": ""An event referenced but not physically present in the dream scene."", ""NOT CODED — phone/calling"": ""No one would let her call — but no phone is explicitly described as a physical object.""}",I was walking on Euclid at Wade Park at night. I had on my bridesmaid dress (which I wore at the wedding of my sister). Suddenly a strange man flashed a light in my face and laughed. Then he started chasing me and I ran into a dingy bar. There were many men at the bar and it was very noisy and smoky
norms-f_0089,"[""AM"", ""AD"", ""AM"", ""AR"", ""IW"", ""AM"", ""AR"", ""AM""]","[""AM"", ""AD"", ""AM"", ""AM"", ""IW"", ""AM"", ""AR"", ""MS""]",0.875,0.875,0.875,"{""AM (building)"": ""A building the dreamer enters — not clearly residential, vocational, entertainment, or institutional. Coded as architectural miscellaneous."", ""AD (door)"": ""A door opened by the friend — architectural detail."", ""AM (winding corridor)"": ""A winding corridor/passageway — connecting space within a building, coded as AM."", ""AR (open room)"": ""An open room they arrive at — a room within the building. Given the later mention of a 'bedroom' and residential-type rooms, coded AR."", ""IW (rifles)"": ""Weapons — men with rifles."", ""AM (waiting room)"": ""A waiting room functioning as a transitional/passageway space — coded AM per the rule that waiting rooms used as hallway/connecting spaces = AM."", ""AR (leader's bedroom)"": ""A bedroom — clearly residential room, coded AR."", ""AM (hallway where they originally entered)"": ""The hallway/entry area — a connecting space within the building, coded AM.""}","A friend of mine (m, 23) took me into a building in search of something (I don't know what). He opened a door and there was a winding corridor cluttered with dusty antiques. We followed the passageway until we came to an open room. Several men popped up from behind objects with rifles, and we were s"
norms-f_0090,"[""TR"", ""NA"", ""IR"", ""AD"", ""BA"", ""BA"", ""BT"", ""AR"", ""TR""]","[""TR"", ""IR"", ""IR"", ""TR"", ""BA"", ""BH"", ""AR"", ""AR"", ""TR"", ""MS""]",0.526,0.556,0.5,"{""TR (car with family)"": ""The first car the dreamer is riding in with parents — travel/conveyance."", ""NA (golf course)"": ""A golf course is a natural/terrain area they pass — nature object."", ""IR (golf ball)"": ""A golf ball is a sporting/recreation implement."", ""AD (rear window of car)"": ""Actually, vehicle windows are part of the vehicle (TR), not architectural details. However, re-reading the rules: 'Do NOT code vehicle doors, windows, or parts as separate AD codes — they are part of the vehicle (TR).' So this should NOT be coded. Let me revise."", ""BA (glass lodged in neck)"": ""Glass lodged in the body/neck — this is a foreign substance in the body, but actually glass is a miscellaneous object. The neck itself with glass is body trauma. The glass shards are distinct objects — MS. Let me reconsider."", ""BA (collar bone swelling)"": ""The collar bone is explicitly described as an object of attention — an internal/anatomical body part (bone) that swelled up."", ""BT (neck)"": ""The neck is explicitly described — glass lodged in the neck, torso/neck area."", ""AR (house — not own home)"": ""A house the dreamer comes out of — residential building."", ""TR (big blue car)"": ""Second distinct car — friend's mother's big blue car.""}","I was in a car with my father and mother (both 45) and another person (perhaps my sister [22] but I am not sure). We were passing a golf course. Suddenly my father started driving faster, explaining that he had seen a man just drive his golf ball and he was afraid it might hit one of the windows in "
norms-f_0091,"[""AR"", ""HH""]","[""AR"", ""AR""]",0.5,0.5,0.5,"{""AR (smoking room of the dorm)"": ""A room within a dormitory — residential space, coded as AR."", ""HH (the piano)"": ""A piano referenced as a household possession belonging to a dorm mate — coded as HH (household item/furnishing) rather than IR, since it is not being actively played for recreation in the dream scene."", ""NOT CODED — 'the room' she went out of and came back"": ""Same smoking room already coded as AR; not a separate space."", ""NOT CODED — 'the dorm'"": ""The dormitory building is the general setting context; the specific room (smoking room) is already coded.""}","I dreamed I was in the smoking room of my dorm talking to the girls, and I started to complain of the piano playing of one of our dorm mates. The girls all gave each other funny looks. And one went out of the room and came back with the girl of whom I had been complaining. When I stopped talking in "
norms-f_0092,"[""RG"", ""RG"", ""RG"", ""TR"", ""TR"", ""MO"", ""AR""]","[""RG"", ""AV"", ""TR"", ""TR"", ""TR"", ""AR""]",0.615,0.571,0.667,"{""RG (small town in New Hampshire)"": ""Named geographic region — the dreamer is physically present in this town at the start of the dream."", ""RG (Cleveland)"": ""Named city — the dreamer perceives the town as located in Cleveland and acts within it."", ""RG (New Hampshire as destination)"": ""Named geographic region the dreamer is traveling to — a distinct bounded area."", ""TR (the plane)"": ""Conveyance — the dreamer sits on the plane."", ""TR (bicycle)"": ""Conveyance — the fellow came on a bicycle."", ""MO (ticket)"": ""The plane ticket functions as a purchased monetary/transactional object. Coded as MO since it represents a financial transaction item."", ""AR (dorm)"": ""Residential building — the dormitory where the fellow is waiting."", ""NOT CODED — 'buildings'"": ""Buildings are mentioned generically as part of the town scenery ('some of the buildings were foreign') but no specific building type is entered or described as a distinct physical space."", ""NOT CODED — 'ticket girl'"": ""A character, not an object."", ""NOT CODED — 'movie star'"": ""A character mentioned but never physically present in the dream scene.""}","I dreamed I was in a small town in New Hampshire, but some of the buildings and all of the people were foreign to that area. I seemed to feel the town was located in Cleveland, and I wanted to fly to New Hampshire. The ticket girl wouldn't sell me a ticket at first because she thought I just wanted "
norms-f_0093,"[""AV"", ""AE"", ""HH""]","[""AV"", ""AE"", ""HH""]",1.0,1.0,1.0,"{""AV (classroom)"": ""A classroom is a vocational/educational building space — explicitly mentioned as a location."", ""AE (Hayden)"": ""Hayden likely refers to a dining hall or social venue on campus — an entertainment/recreation building. The context of sitting at a table with sorority sisters and being asked for a date suggests a social/dining venue."", ""HH (the table)"": ""A table where the dreamer sits with sorority sisters — household furniture."", ""NOT CODED — 'campus'"": ""Campus is the general background setting, not a distinct bounded region the dreamer physically traverses as a scene object.""}","There is a fellow on campus who keeps asking me for dates even though I have constantly refused him. I dreamed he was waiting for me outside very classroom and wouldn't leave me alone. If I went to Hayden, he was there. I sat with a group of sorority sisters and he moved in at the table, embarrassin"
norms-f_0094,"[""ST"", ""NA"", ""NA"", ""NA"", ""NA""]","[""ST"", ""NA"", ""NA"", ""NA"", ""NA""]",1.0,1.0,1.0,"{""ST (secluded path)"": ""A path/walkway — roadway infrastructure."", ""NA (hill)"": ""A high hill — natural terrain feature."", ""NA (woods/forest)"": ""Dense forest — natural vegetation/terrain."", ""NA (brook)"": ""A brook — natural water body."", ""NA (beach)"": ""A beach — natural terrain feature.""}","I was walking along a secluded path in the woods, with a high hill along one side, and dense forest on the other. I was conscious of the beauty of the surroundings. After walking for awhile, I came to a brook, stopped to take a drink, crossed the beach and walked onward. As it started to grow dark, "
norms-f_0095,"[""TR"", ""CL"", ""HH"", ""AD"", ""NA"", ""AE""]","[""CL"", ""HH"", ""TR"", ""TR"", ""TR"", ""NA"", ""AD"", ""AE""]",0.857,1.0,0.75,"{""TR (the ship/vessel)"": ""A ship is a conveyance — travel object."", ""CL (military uniform)"": ""Garment worn by the dreamer — clothing."", ""HH (seat/platform)"": ""An assigned seat on a small platform — functions as furniture/household-type object."", ""AD (iron railing)"": ""A railing protecting the platform — architectural detail."", ""NA (waves/ocean)"": ""Ocean waves flooding the floor — natural water body/phenomenon."", ""AE (dance hall on the ship)"": ""A dance hall — entertainment venue."", ""NOT CODED — 'knitting'"": ""The dreamer forgot the knitting — it is not physically present in the dream scene."", ""NOT CODED — 'floor'"": ""The floor of the platform is part of the platform/vessel structure, not a separately described architectural detail.""}","I dreamed I had to go on a long ocean voyage and I was in uniform of some branch of the military forces. Seats were assigned and I found my seat was on a small platform on the lower part of the vessel almost at water level. The platform was only protected from the elements by an iron railing, and th"
norms-f_0096,"[""AV"", ""MS""]","[""CM"", ""AV""]",0.5,0.5,0.5,"{""AV (art school)"": ""The dreamer sees the friend at art school — an educational building/room explicitly described as a physical space the dreamer is in."", ""MS (picture being painted)"": ""A picture/painting being actively created — a physical object present in the scene. Not clearly communication (CM) or recreation (IR); coded as miscellaneous."", ""NOT CODED — Cleveland"": ""Cleveland is mentioned as narrative context ('back in Cleveland') but the dreamer is not described as physically moving through or inhabiting the city as a distinct bounded region in the dream scene."", ""NOT CODED — Chicago"": ""Chicago is mentioned only as background information about where the friend moved; the dreamer is not physically there."", ""NOT CODED — 'his job' / 'position as commercial artist'"": ""Abstract narrative context, not a physical object.""}","This dream concerns an artist friend of my husband's. He is an old friend and he and my husband have known each other since they were children. He is about 25. The dream itself is short. Only a fragment. In my dreams, I saw this friend of a fellow art student who was painting a picture. I felt rathe"
norms-f_0097,"[""AR"", ""AR"", ""HH"", ""HH"", ""BH""]","[""AR"", ""AR"", ""HH"", ""HH"", ""BH""]",1.0,1.0,1.0,"{""AR (home of sister-in-law)"": ""Residential dwelling — the home is explicitly described as the setting where the dream takes place."", ""AR (the bathroom)"": ""A distinct residential room explicitly entered and described — coded as a separate AR from the home."", ""HH (glass mirror / medicine cabinet)"": ""Household fixture — the mirror of the medicine cabinet is explicitly described as an object of attention."", ""HH (the bathtub)"": ""Household fixture — the bathtub is explicitly mentioned as a distinct object in the bathroom."", ""BH (sister-in-law's face)"": ""Head/face — explicitly described as seen 'very vividly,' singling it out as an object of attention.""}","This dream is merely a fragment, but it is all that I can remember. All that took place was in the home of my sister-in-law (my husband's brother's wife) who is 35. My sister-in-law and I were standing in the bathroom and were looking the room over. My sister-in-law began explaining to me the detail"
norms-f_0098,"[""RG"", ""TR"", ""NA"", ""NA""]","[""RG"", ""TR"", ""RG"", ""NA"", ""NA"", ""NA""]",0.8,1.0,0.667,"{""RG (the Arctic or Siberia)"": ""A named geographic region — the dreamer is physically present in this strange land."", ""TR (airplanes)"": ""Conveyances — airplanes roaring overhead."", ""NA (snow)"": ""Natural weather/terrain feature — snow surrounding the fox hole and forming the whirlpool."", ""NA (the hole/whirlpool in the ground)"": ""Natural terrain feature — a whirlpool of snow / hole in the ground through which the witch sank."", ""NOT CODED — fox hole"": ""A fox hole is a military dugout, not a distinct architectural structure or household object. It is a terrain feature dug into the ground; could arguably be NA but is more of a setting detail. Judgment call: not separately coded."", ""NOT CODED — soldiers"": ""Characters, not objects."", ""NOT CODED — the witch"": ""A character, not an object.""}",This dream was rather short and fragmentary. I was off in some strange land - the Arctic or Siberia. Airplanes were roaring overhead and several soldiers in a fox hole surrounded by snow where reassuring me that these planes were not of the enemy. The enemy was a wicked old witch who was out to kill
norms-f_0099,"[""BH""]","[""BH""]",1.0,1.0,1.0,"{""BH (professor's face)"": ""The professor's face is explicitly described as a distinct object of attention — 'seeing one of my professor's faces very close' and 'He appeared to be smiling.' This is a head/face body part singled out."", ""NOT CODED — other students"": ""Other students are mentioned as vaguely standing around but no physical objects or body parts are described in connection with them."", ""NOT CODED — difficulty/events"": ""These are abstract concepts, not physical objects.""}","This dream consisted merely of seeing one of my professor's faces very close. He appeared to be smiling and very friendly, and I had the feeling that he wished to help me through some difficulty which I had (what it was, I don't remember). When I awoke, I had the feeling that this was part of a long"
norms-f_0100,"[""CM"", ""BH""]","[""CM"", ""BA"", ""BH"", ""BH""]",0.667,1.0,0.5,"{""CM (the telephone)"": ""Communication device — the telephone rang and the dreamer heard the father's voice through it."", ""BH (mother's face with eyes closed)"": ""The dreamer explicitly visualizes the mother's face with her eyes closed — head/face as a distinct object of attention."", ""NOT CODED — 'funeral'"": ""The funeral is an event the dreamer dreads attending, not a physical object or building explicitly described in the dream scene."", ""NOT CODED — 'news'"": ""Abstract information, not a physical object.""}","In this dream I remember hearing the news that my mother had died. I remember feeling very upset at the news. I don't know who told me the news, but soon after I heard it, the telephone rang and I heard my father's voice. He called to tell me about my mother. When he spoke to me, I felt very sorry f"
